aggregation_level,algorithm,checkpoint,completed_trips_mean,completed_trips_std,congestion_failure_mean,congestion_failure_std,episode_return_mean,episode_return_std,episodes,final_backlog_mean,final_backlog_std,intensity,max_pedestrian_queue_length_mean,max_pedestrian_queue_length_std,max_pedestrian_waiting_time_mean,max_pedestrian_waiting_time_std,max_queue_length_mean,max_queue_length_std,mean_average_pedestrian_waiting_time_mean,mean_average_pedestrian_waiting_time_std,mean_average_speed_mean,mean_average_speed_std,mean_average_waiting_time_mean,mean_average_waiting_time_std,mean_backlog_mean,mean_backlog_std,mean_depart_delay_mean,mean_depart_delay_std,mean_max_pedestrian_waiting_time_mean,mean_max_pedestrian_waiting_time_std,mean_pedestrian_queue_length_mean,mean_pedestrian_queue_length_std,mean_queue_length_mean,mean_queue_length_std,mean_time_loss_mean,mean_time_loss_std,mean_total_pedestrian_waiting_time_mean,mean_total_pedestrian_waiting_time_std,mean_travel_time_mean,mean_travel_time_std,mean_trip_waiting_time_mean,mean_trip_waiting_time_std,num_decision_steps_mean,num_decision_steps_std,route_seed_mean,route_seed_std,source_file,split,teleports_mean,teleports_std,throughput_mean,throughput_std,train_seed,train_seed_mean,train_seed_source,train_seed_std,variant
per_train_seed,baseline,,978.7,27.151611370229944,0.0,0.0,,,10,0.0,0.0,low,,,,,33.0,2.4899799195977463,,,6.264807558114348,0.06143420259915751,9.990542797844343,0.2751971747351142,0.0,0.0,0.40977923964963203,0.010150556556432433,,,,,15.148888888888887,0.5256407025223109,33.76594737469132,0.6424487910970402,,,63.719182011781015,0.6411488783535202,26.750122569745024,0.6221583750736502,360.0,0.0,104.5,2.8722813232690143,results/eval/baseline/test/low/aggregate.json,test,0.0,0.0,0.0,0.0,,,baseline,,vehicle
per_train_seed,centralized_ppo,results/checkpoints/centralized_ppo/low/seed_0/final.pt,978.7,27.151611370229944,0.0,0.0,-0.14124999999999993,0.06708436852203352,10,0.0,0.0,low,,,,,26.4,2.8000000000000003,,,7.576462721080631,0.09573264983896347,2.609558488948049,0.08048061045509564,0.0,0.0,0.40977923964963203,0.010150556556432447,,,,,8.0625,0.5145974844358009,24.513387145312265,0.9638417419882149,,,54.58429162789637,1.1285571805573822,15.024372365465108,0.6556798369549737,360.0,0.0,104.5,2.8722813232690143,results/eval/centralized_ppo/test/low/train_seed_0/aggregate.json,test,0.0,0.0,0.0,0.0,0,0.0,payload,0.0,vehicle
per_train_seed,centralized_ppo,results/checkpoints/centralized_ppo/low/seed_1/final.pt,978.7,27.151611370229944,0.0,0.0,-0.13425000000000006,0.06431417028929179,10,0.0,0.0,low,,,,,25.7,1.268857754044952,,,7.61682369634714,0.05970379495555852,2.506129818935407,0.052820635109164696,0.0,0.0,0.40977923964963203,0.010150556556432428,,,,,7.960833333333333,0.3396086391389033,24.448043290818042,0.5066636330671536,,,54.553343908367744,0.6363255631934219,14.846951027881275,0.3350969481050496,360.0,0.0,104.5,2.8722813232690143,results/eval/centralized_ppo/test/low/train_seed_1/aggregate.json,test,0.0,0.0,0.0,0.0,1,1.0,payload,0.0,vehicle
per_train_seed,centralized_ppo,results/checkpoints/centralized_ppo/low/seed_2/final.pt,978.7,27.151611370229944,0.0,0.0,-0.29774999999999985,0.05741787613626956,10,0.0,0.0,low,,,,,27.7,2.3259406699226015,,,7.1440280423636695,0.11378998246255981,3.0300368978276353,0.12059617036474694,0.0,0.0,0.40977923964963203,0.010150556556432424,,,,,9.67222222222222,0.6077483234788543,27.978917412028192,1.0888651830176403,,,58.06463977217967,1.2311140211335843,18.015624623581004,0.8088890106743225,360.0,0.0,104.5,2.8722813232690143,results/eval/centralized_ppo/test/low/train_seed_2/aggregate.json,test,0.0,0.0,0.0,0.0,2,2.0,payload,0.0,vehicle
per_train_seed,centralized_ppo,results/checkpoints/centralized_ppo/low/seed_3/final.pt,978.7,27.151611370229944,0.0,0.0,-0.19749999999999984,0.08356135470419328,10,0.0,0.0,low,,,,,24.1,2.7,,,7.484479031953123,0.07325368352924698,2.4929407748302146,0.07650204115041302,0.0,0.0,0.40977923964963203,0.010150556556432431,,,,,8.140277777777778,0.4688577036759622,25.49242261257924,0.7309986387202928,,,55.588806060832916,0.8746858172430447,15.203170061646997,0.49734307276925455,360.0,0.0,104.5,2.8722813232690143,results/eval/centralized_ppo/test/low/train_seed_3/aggregate.json,test,0.0,0.0,0.0,0.0,3,3.0,payload,0.0,vehicle
per_train_seed,centralized_ppo,results/checkpoints/centralized_ppo/low/seed_4/final.pt,978.7,27.151611370229944,0.0,0.0,-0.158,0.03766297917053313,10,0.0,0.0,low,,,,,29.8,2.4,,,7.43129871789642,0.08015685280691652,2.6907669274233306,0.06667412515870558,0.0,0.0,0.40977923964963203,0.010150556556432433,,,,,8.728333333333333,0.40035246816453135,25.7269180774913,0.6599646374347518,,,55.834338860374636,0.7936189215844686,16.248764306708114,0.4587539306353319,360.0,0.0,104.5,2.8722813232690143,results/eval/centralized_ppo/test/low/train_seed_4/aggregate.json,test,0.0,0.0,0.0,0.0,4,4.0,payload,0.0,vehicle
per_train_seed,independent_ppo,results/checkpoints/independent_ppo/low/seed_0/final.pt,978.7,27.151611370229944,0.0,0.0,-0.4899999999999996,0.15205262246998583,10,0.0,0.0,low,,,,,20.8,3.026549190084311,,,8.350680835271941,0.08457880326290257,1.7814391213450367,0.10240174379481295,0.0,0.0,0.40977923964963203,0.010150556556432431,,,,,5.899445983379501,0.26239589341932656,19.639575134023683,0.6481973967426116,,,49.77745215281435,0.7345024549675815,10.909299784600496,0.4909921092758709,361.0,0.0,104.5,2.8722813232690143,results/eval/independent_ppo/test/low/train_seed_0/aggregate.json,test,0.0,0.0,0.0,0.0,0,0.0,payload,0.0,vehicle
per_train_seed,independent_ppo,results/checkpoints/independent_ppo/low/seed_1/final.pt,978.7,27.151611370229944,0.0,0.0,-0.48499999999999954,0.18853381659532595,10,0.0,0.0,low,,,,,21.1,2.467792535850613,,,8.335010577029644,0.10029697253047255,1.8427436272023958,0.1259666544725916,0.0,0.0,0.40977923964963203,0.010150556556432433,,,,,5.961772853185596,0.3752676472141977,19.707840204758394,0.7394301997501695,,,49.85453017441282,0.8204937613144899,11.001136736184472,0.5110841591941024,361.0,0.0,104.5,2.8722813232690143,results/eval/independent_ppo/test/low/train_seed_1/aggregate.json,test,0.0,0.0,0.0,0.0,1,1.0,payload,0.0,vehicle
per_train_seed,independent_ppo,results/checkpoints/independent_ppo/low/seed_2/final.pt,978.7,27.151611370229944,0.0,0.0,-0.5289999999999996,0.14222868908908615,10,0.0,0.0,low,,,,,23.3,2.6851443164195103,,,7.982625606671581,0.11017443080324393,2.067669885029712,0.1415598686960576,0.0,0.0,0.40977923964963203,0.010150556556432449,,,,,6.876454293628809,0.38069085888338494,21.878930555530335,0.7622048989916387,,,52.01731156586516,0.7663593842972539,12.785428087456804,0.6308211082167344,361.0,0.0,104.5,2.8722813232690143,results/eval/independent_ppo/test/low/train_seed_2/aggregate.json,test,0.0,0.0,0.0,0.0,2,2.0,payload,0.0,vehicle
per_train_seed,independent_ppo,results/checkpoints/independent_ppo/low/seed_3/final.pt,978.7,27.151611370229944,0.0,0.0,-0.49099999999999977,0.15636176003102562,10,0.0,0.0,low,,,,,20.3,2.193171219946131,,,8.375993325202574,0.08428594076458237,1.818486880709979,0.1070882641623838,0.0,0.0,0.40977923964963203,0.01015055655643243,,,,,5.832686980609418,0.25579793918687505,19.403429300044913,0.5005482855378023,,,49.549226558094674,0.5784510181787247,10.762219856539327,0.3901516243247203,361.0,0.0,104.5,2.8722813232690143,results/eval/independent_ppo/test/low/train_seed_3/aggregate.json,test,0.0,0.0,0.0,0.0,3,3.0,payload,0.0,vehicle
per_train_seed,independent_ppo,results/checkpoints/independent_ppo/low/seed_4/final.pt,978.7,27.151611370229944,0.0,0.0,-0.44699999999999995,0.23668755776339395,10,0.0,0.0,low,,,,,21.7,2.685144316419511,,,8.374459237148224,0.08422096989296818,1.7068420974055374,0.10909956659795157,0.0,0.0,0.40977923964963203,0.01015055655643243,,,,,5.821606648199446,0.31292671390529386,19.466048464014897,0.5561106301293038,,,49.59999515423434,0.6290775365737545,10.752507645365345,0.4878783629761571,361.0,0.0,104.5,2.8722813232690143,results/eval/independent_ppo/test/low/train_seed_4/aggregate.json,test,0.0,0.0,0.0,0.0,4,4.0,payload,0.0,vehicle
per_train_seed,mappo,results/checkpoints/mappo/low/seed_0/final.pt,978.7,27.151611370229944,0.0,0.0,-0.4429999999999998,0.2769494538720016,10,0.0,0.0,low,,,,,21.8,2.0880613017821097,,,8.509547890384376,0.05597028253472235,1.5344327328751841,0.04685094758036928,0.0,0.0,0.40977923964963203,0.010150556556432438,,,,,5.481440443213296,0.20827562039039063,18.797073531137983,0.4565902113288441,,,48.9546383035764,0.5563271321129204,10.132790610197512,0.2776765047069678,361.0,0.0,104.5,2.8722813232690143,results/eval/mappo/test/low/train_seed_0/aggregate.json,test,0.0,0.0,0.0,0.0,0,0.0,payload,0.0,vehicle
per_train_seed,mappo,results/checkpoints/mappo/low/seed_1/final.pt,978.7,27.151611370229944,0.0,0.0,-0.3949999999999998,0.16626785618392992,10,0.0,0.0,low,,,,,20.4,2.1999999999999997,,,8.535281674197249,0.0813378537212776,1.5557325015257373,0.08591481299064621,0.0,0.0,0.40977923964963203,0.01015055655643243,,,,,5.4401662049861494,0.1918708014058756,18.64451503096952,0.41748499906852476,,,48.80191042011971,0.44605146810388396,10.039317544235917,0.349139581746184,361.0,0.0,104.5,2.8722813232690143,results/eval/mappo/test/low/train_seed_1/aggregate.json,test,0.0,0.0,0.0,0.0,1,1.0,payload,0.0,vehicle
per_train_seed,mappo,results/checkpoints/mappo/low/seed_2/final.pt,978.7,27.151611370229944,0.0,0.0,-0.35299999999999965,0.22127132665576013,10,0.0,0.0,low,,,,,21.3,2.147091055358389,,,8.628548216640308,0.062317925370209776,1.4521272024043939,0.06948379511928143,0.0,0.0,0.40977923964963203,0.010150556556432431,,,,,5.1822714681440445,0.14772518413649463,18.11510735516825,0.27513505483783846,,,48.277916201994145,0.33373720803613655,9.560250925364045,0.28824141955418375,361.0,0.0,104.5,2.8722813232690143,results/eval/mappo/test/low/train_seed_2/aggregate.json,test,0.0,0.0,0.0,0.0,2,2.0,payload,0.0,vehicle
per_train_seed,mappo,results/checkpoints/mappo/low/seed_3/final.pt,978.7,27.151611370229944,0.0,0.0,-0.5089999999999997,0.2986117881129277,10,0.0,0.0,low,,,,,21.2,2.9597297173897483,,,8.427786231516965,0.09066147742218073,1.7742843532760175,0.08050711377946192,0.0,0.0,0.40977923964963203,0.010150556556432443,,,,,5.725761772853186,0.2710013511734631,19.20123609569209,0.4401351765818484,,,49.34041115397049,0.40733916628017824,10.552758876509262,0.3892424661733869,361.0,0.0,104.5,2.8722813232690143,results/eval/mappo/test/low/train_seed_3/aggregate.json,test,0.0,0.0,0.0,0.0,3,3.0,payload,0.0,vehicle
per_train_seed,mappo,results/checkpoints/mappo/low/seed_4/final.pt,978.7,27.151611370229944,0.0,0.0,-0.4519999999999996,0.17577258034175866,10,0.0,0.0,low,,,,,20.6,1.9078784028338913,,,8.42292792286713,0.09900030633144917,1.6354415062315018,0.09356904704810476,0.0,0.0,0.40977923964963203,0.010150556556432443,,,,,5.690027700831025,0.18366904358027594,19.258948014351027,0.40212720180055683,,,49.402771000172535,0.344894698746646,10.521893830229933,0.3570737541312787,361.0,0.0,104.5,2.8722813232690143,results/eval/mappo/test/low/train_seed_4/aggregate.json,test,0.0,0.0,0.0,0.0,4,4.0,payload,0.0,vehicle
